recNum,V,k,L,phi_L,M,phi_M
1817,105.4,0.053,0.273,-180,0.0755,351
1818,105.4,0.060,0.268,178,0.0742,343
1819,105.4,0.075,0.268,180,0.0742,349
1820,105.4,0.079,0.266,180,0.0740,346
1822,105.4,0.086,0.268,184,0.0704,352
1823,105.4,0.094,0.264,177,0.0705,344
1824,105.4,0.102,0.260,174,0.0696,338
1825,105.4,0.115,0.257,178,0.0696,337
1827,105.4,0.123,0.251,180,0.0738,341
1828,105.4,0.134,0.251,178,0.0740,336
1829,105.4,0.140,0.249,178,0.0742,334
1830,105.4,0.149,0.249,178,0.0742,332
1832,105.4,0.160,0.249,182,0.0725,337
1833,105.4,0.168,0.244,183,0.0715,332
1834,105.4,0.181,0.242,180,0.0763,333
1835,105.4,0.148,0.249,180,0.0755,338
1837,93.2,0.059,0.268,178,0.0773,351
1838,93.2,0.070,0.266,179,0.0750,351
1839,93.2,0.078,0.263,182,0.0740,351
1840,93.2,0.087,0.266,179,0.0712,346
1842,93.2,0.099,0.256,180,0.0707,348
1843,93.2,0.109,0.256,178,0.0712,342
1844,93.2,0.119,0.254,176,0.0718,339
1845,93.2,0.127,0.254,175,0.0712,339
1847,93.2,0.139,0.254,180,0.0751,343
1848,93.2,0.151,0.249,183,0.0736,339
1849,93.2,0.160,0.249,180,0.0752,337
1850,93.2,0.170,0.249,180,0.0748,332
1852,93.2,0.181,0.245,180,0.0774,332
1853,93.2,0.195,0.240,186,0.0766,337
1854,93.2,0.206,0.240,186,0.0802,336
1861,81.0,0.113,0.251,182,0.0710,342
1862,81.0,0.121,0.248,184,0.0718,342
1863,81.0,0.134,0.251,180,0.0710,339
1864,81.0,0.144,0.248,181,0.0700,335
1866,81.0,0.157,0.251,181,0.0700,334
1867,81.0,0.170,0.247,184,0.0718,338
1868,81.0,0.180,0.247,182,0.0710,333
1869,81.0,0.195,0.244,183,0.0700,333
1871,81.0,0.208,0.244,182,0.0718,326
1872,81.0,0.221,0.244,187,0.0718,330
1873,81.0,0.234,0.236,189,0.0749,330
1879,105.4,0.190,0.240,182,0.0704,332
1880,105.4,0.196,0.246,184,0.0715,328
1881,105.4,0.203,0.244,182,0.0715,336
1882,105.4,0.213,0.242,185,0.0730,334
1884,105.4,0.227,0.234,185,0.0725,332
1885,105.4,0.238,0.236,188,0.0730,330
1886,105.4,0.244,0.232,188,0.0765,330
1887,105.4,0.244,0.236,185,0.0730,324
1889,105.4,0.256,0.238,185,0.0730,324
1890,105.4,0.262,0.240,187,0.0776,328
1909,93.2,0.227,0.238,187,0.0739,328
1910,93.2,0.236,0.244,187,0.0739,326
1911,93.2,0.246,0.241,187,0.0749,324
1913,93.2,0.257,0.244,187,0.0749,324
1914,93.2,0.271,0.238,187,0.0763,324
1915,93.2,0.278,0.241,187,0.0763,325
1916,93.2,0.289,0.241,187,0.0784,324
1918,93.2,0.300,0.238,187,0.0840,325
1919,93.2,0.308,0.238,187,0.0840,320
1920,93.2,0.304,0.238,188,0.0826,320
1921,93.2,0.315,0.233,189,0.0784,323
1923,93.2,0.344,0.236,193,0.0815,320
1924,93.2,0.352,0.238,194,0.0810,323
1925,93.2,0.374,0.248,194,0.0890,320
1928,81.0,0.248,0.244,188,0.0753,329
1929,81.0,0.257,0.234,188,0.0738,331
1930,81.0,0.276,0.239,188,0.0753,329
1931,81.0,0.283,0.234,190,0.0768,324
1933,81.0,0.294,0.239,190,0.0768,329
1934,81.0,0.308,0.234,190,0.0798,322
1935,81.0,0.316,0.243,190,0.0814,318
1938,81.0,0.358,0.237,195,0.0814,318
1940,81.0,0.366,0.239,195,0.0814,317
1941,81.0,0.374,0.234,196,0.0814,318
1943,81.0,0.394,0.243,197,0.0844,319
1944,81.0,0.410,0.244,197,0.0859,338
1955,93.2,0.404,0.248,200,0.0895,325
1957,81.0,0.426,0.247,194,0.0894,323
1958,81.0,0.445,0.247,195,0.0911,318
1959,81.0,0.445,0.247,195,0.0976,318
1960,81.0,0.460,0.264,199,0.1020,320