t,RO_X,RO_Y,theta,VO_X,VO_Y,w
0.0,0.0,0.0,-0.06841690667817772,-35.76,-0.0,0.0
2.8411633109619688e-05,-0.001016,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
5.6823266219239376e-05,-0.002032,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
8.523489932885907e-05,-0.0030480000000000004,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.00011364653243847875,-0.004064,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.00014205816554809845,-0.00508,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.00017046979865771814,-0.006096000000000001,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.00019888143176733782,-0.007112,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0002272930648769575,-0.008128,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0002557046979865772,-0.009144000000000001,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0002841163310961969,-0.01016,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0003125279642058166,-0.011176,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.00034093959731543627,-0.012192,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.00036935123042505596,-0.013208,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.00039776286353467564,-0.014223999999999999,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0004261744966442953,-0.015239999999999998,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.000454586129753915,-0.016256,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0004829977628635347,-0.017272,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0005114093959731544,-0.018288000000000002,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0005398210290827741,-0.019304,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0005682326621923938,-0.020320000000000005,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0005966442953020134,-0.021336000000000004,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0006250559284116332,-0.022352000000000007,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0006534675615212528,-0.023368000000000007,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0006818791946308725,-0.02438400000000001,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0007102908277404922,-0.02540000000000001,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0007387024608501119,-0.026416000000000012,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0007671140939597315,-0.027432000000000012,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0007955257270693513,-0.028448000000000015,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0008239373601789709,-0.029464000000000014,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0008523489932885907,-0.030480000000000017,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0008807606263982103,-0.03149600000000002,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.00090917225950783,-0.03251200000000002,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0009375838926174498,-0.03352800000000002,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0009659955257270694,-0.03454400000000002,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0009944071588366891,-0.03556000000000002,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0010228187919463089,-0.036576000000000025,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0010512304250559284,-0.03759200000000002,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0010796420581655481,-0.038608000000000024,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0011080536912751679,-0.03962400000000003,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0011364653243847876,-0.04064000000000003,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0011648769574944071,-0.041656000000000026,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0011932885906040269,-0.04267200000000003,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0012217002237136466,-0.04368800000000003,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0012501118568232663,-0.044704000000000035,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0012785234899328859,-0.04572000000000003,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0013069351230425056,-0.046736000000000034,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0013353467561521253,-0.04775200000000004,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.001363758389261745,-0.04876800000000004,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0013921700223713648,-0.049784000000000043,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0014205816554809843,-0.05080000000000004,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.001448993288590604,-0.05181600000000004,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0014774049217002238,-0.052832000000000046,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0015058165548098436,-0.05384800000000005,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.001534228187919463,-0.054864000000000045,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0015626398210290828,-0.05588000000000005,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0015910514541387026,-0.05689600000000005,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0016194630872483223,-0.057912000000000054,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0016478747203579418,-0.05892800000000005,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0016762863534675616,-0.05994400000000005,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0017046979865771813,-0.060960000000000056,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.001733109619686801,-0.06197600000000006,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0017615212527964206,-0.06299200000000005,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0017899328859060403,-0.06400800000000005,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.00181834451901566,-0.06502400000000005,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0018467561521252798,-0.06604000000000006,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0018751677852348995,-0.06705600000000006,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.001903579418344519,-0.06807200000000005,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0019319910514541388,-0.06908800000000005,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0019604026845637585,-0.07010400000000006,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0019888143176733783,-0.07112000000000006,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.002017225950782998,-0.07213600000000006,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0020456375838926177,-0.07315200000000006,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.002074049217002237,-0.07416800000000005,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.002102460850111857,-0.07518400000000006,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0021308724832214765,-0.07620000000000006,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0021592841163310963,-0.07721600000000006,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.002187695749440716,-0.07823200000000007,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0022161073825503357,-0.07924800000000007,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0022445190156599555,-0.08026400000000007,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0022729306487695752,-0.08128000000000007,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.002301342281879195,-0.08229600000000008,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0023297539149888143,-0.08331200000000007,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.002358165548098434,-0.08432800000000007,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0023865771812080537,-0.08534400000000007,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0024149888143176735,-0.08636000000000008,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0024434004474272932,-0.08737600000000008,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.002471812080536913,-0.08839200000000008,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0025002237136465327,-0.08940800000000008,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0025286353467561524,-0.09042400000000009,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0025570469798657717,-0.09144000000000008,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0025854586129753915,-0.09245600000000008,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0026138702460850112,-0.09347200000000008,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.002642281879194631,-0.09448800000000009,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0026706935123042507,-0.09550400000000009,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0026991051454138704,-0.09652000000000009,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.00272751677852349,-0.0975360000000001,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.00275592841163311,-0.0985520000000001,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0027843400447427297,-0.0995680000000001,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.002812751677852349,-0.10058400000000009,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
0.0028411633109619687,-0.10160000000000009,-0.0,-0.06841690667817772,-35.76,-0.0,0.0
